strategy,attack_successes,attack_total,asr,intercept_rate,control_block_count,control_total,control_block_rate,avg_guard_latency_ms,avg_model_latency_ms
none,10,10,1.0,0.0,0,5,0.0,0.435099999109904,0.4371577783280777
rolling_gate,2,10,0.2,0.8,0,5,0.0,0.5246622255071998,0.42694999946333057
context_quarantine,0,10,0.0,1.0,0,5,0.0,0.508842229222258,0.4324199955186082
post_guard,0,10,0.0,1.0,0,5,0.0,1.2333111139014363,0.5497311112574406
layered,0,10,0.0,1.0,0,5,0.0,1.2072155601345003,0.39203888769002837
